,Player,Team,Pos,Injury,Status,Est. Return
149,Ronny Mauricio,NYM,INF,Knee surgery (torn ACL),10-Day IL,
150,Frankie Montas,NYM,SP,Strained lat,15-Day IL,
151,Sean Manaea,NYM,SP,Strained oblique,15-Day IL,
152,Nick Madrigal,NYM,INF,Fractured shoulder (non-throwing),60-Day IL,
153,Jeff McNeil,NYM,INF/OF,Strained oblique,10-Day IL,
154,Francisco Alvarez,NYM,C,Hamate surgery (left hand),10-Day IL,
155,Paul Blackburn,NYM,SP,Knee inflammation,15-Day IL,
156,Drew Smith,NYM,RP,Tommy John surgery (internal brace),60-Day IL,
157,Christian Scott,NYM,SP,Tommy John surgery (internal brace),60-Day IL,
158,Giancarlo Stanton,NYY,DH,Elbow epicondylitis (right and left),10-Day IL,
159,Ian Hamilton,NYY,RP,Viral illness,Activated,04/08/25
160,Clayton Beeter,NYY,RP,Shoulder impingement,15-Day IL,
161,JT Brubaker,NYY,SP,Rib fractures,60-Day IL,
162,Scott Effross,NYY,RP,Strained hamstring,15-Day IL,
163,Luis Gil,NYY,SP,Strained lat,60-Day IL,
164,DJ LeMahieu,NYY,INF,Strained calf,10-Day IL,
165,Gerrit Cole,NYY,SP,Tommy John surgery,60-Day IL,
166,Clarke Schmidt,NYY,SP,Shoulder tendinitis (rotator cuff),15-Day IL,
167,Jake Cousins,NYY,RP,Strained elbow flexor,60-Day IL,
168,Jonathan Loáisiga,NYY,RP,Elbow surgery (internal brace),15-Day IL,
169,Weston Wilson,PHI,INF/OF,Strained oblique,10-Day IL,
170,Ranger Suárez,PHI,SP,Back tightness,15-Day IL,
171,Spencer Horwitz,PIT,1B,Thumb surgery,10-Day IL,
172,Jared Jones,PIT,SP,Elbow discomfort,60-Day IL,
173,Dauri Moreta,PIT,SP,Tommy John surgery,60-Day IL,
174,Nick Gonzales,PIT,2B,Fractured ankle (non-displaced),10-Day IL,
175,Colin Holderman,PIT,RP,Sprained knee,15-Day IL,
176,Jared Triolo,PIT,INF,Strained back (lumbar),10-Day IL,
177,Johan Oviedo,PIT,SP,Tommy John surgery,60-Day IL,
178,Bryan Hoeing,SDP,RP,Strained shoulder,15-Day IL,
179,Sean Reynolds,SDP,RP,Stress reaction in foot,15-Day IL,
180,Jhony Brito,SDP,RP,Strained forearm,60-Day IL,
181,Yu Darvish,SDP,SP,Elbow inflammation,15-Day IL,
182,Matt Waldron,SDP,SP,Strained oblique,60-Day IL,
183,Jake Cronenworth,SDP,2B,Fractured rib (non-displaced),10-Day IL,
184,Jackson Merrill,SDP,OF,Strained hamstring,10-Day IL,
185,Brandon Lockridge,SDP,OF,Strained hamstring,10-Day IL,
186,Joe Musgrove,SDP,SP,Tommy John surgery,60-Day IL,
187,Troy Taylor,SEA,RP,Strained lat,Activated,04/14/25
188,George Kirby,SEA,SP,Shoulder inflammation,15-Day IL,
189,Jackson Kowar,SEA,RP,Tommy John surgery,60-Day IL,
190,Victor Robles,SEA,OF,Shoulder dislocation,10-Day IL,
191,Ryan Bliss,SEA,2B,Biceps surgery,60-Day IL,
192,Matt Brash,SEA,RP,Tommy John surgery,15-Day IL,
193,Tom Murphy,SFG,C,Mid-back disc herniation,60-Day IL,
194,Jerar Encarnacion,SFG,1B/OF,Hand surgery (left),10-Day IL,
195,Zack Thompson,STL,RP,Strained lat,60-Day IL,
196,Nolan Gorman,STL,INF,Strained hamstring,Activated,04/12/25
197,Iván Herrera,STL,C,Knee inflammation (bone bruise),10-Day IL,
198,Masyn Winn,STL,SS,Back spasms,10-Day IL,
199,Alex Faedo,TBR,RP,Shoulder inflammation,15-Day IL,
200,Richie Palacios,TBR,OF/INF,Fractured finger (right ring),10-Day IL,
201,Shane McClanahan,TBR,SP,Triceps nerve-related issue,15-Day IL,
202,Josh Lowe,TBR,OF,Strained oblique,10-Day IL,
